GENERADORES,ESCENARIOS,gen_cvar,gen_rupmax,gen_rdnmax,gen_factorcap,tipo,barra
U13,Seco.Dmax,42.217497,999,999,1,Carbon,SING_Centro
U12,Seco.Dmax,44.032503,999,999,1,Carbon,SING_Centro
COCHRANE_1,Seco.Dmax,46.51138814,999,999,1,Carbon,SING_Centro
COCHRANE_2,Seco.Dmax,46.51138814,999,999,1,Carbon,SING_Centro
CTTAR,Seco.Dmax,33.198374,999,999,1,Carbon,SING_Norte
ANG_II,Seco.Dmax,41.04048968,999,999,1,Carbon,SING_Sur
ANG_I,Seco.Dmax,42.45048968,999,999,1,Carbon,SING_Sur
IEMejillones,Seco.Dmax,43.79474211,999,999,1,Carbon,SING_Sur
Nueva_Renca_Diesel,Seco.Dmax,120.5464769,999,999,1,Diesel,SIC_Centro
Nehuenco_02_Diesel,Seco.Dmax,121.0384651,999,999,1,Diesel,SIC_Centro
Nehuenco_01_Diesel,Seco.Dmax,121.1952869,999,999,1,Diesel,SIC_Centro
Dona_Carmen,Seco.Dmax,157.8250806,999,999,1,Diesel,SIC_Centro
Espinos_01,Seco.Dmax,175.315902,999,999,1,Diesel,SIC_Centro
Los_Vientos,Seco.Dmax,179.3565017,999,999,1,Diesel,SIC_Centro
Cardones,Seco.Dmax,174.37435,999,999,1,Diesel,SIC_CentroNorte
Teno,Seco.Dmax,180.5514389,999,999,1,Diesel,SIC_CentroSurA
Los_Pinos,Seco.Dmax,148.5568851,999,999,1,Diesel,SIC_CentroSurC
Coronel_TG_Diesel,Seco.Dmax,165.8908952,999,999,1,Diesel,SIC_CentroSurC
Santa_Lidia,Seco.Dmax,181.2146294,999,999,1,Diesel,SIC_CentroSurC
Taltal_01_Diesel,Seco.Dmax,176.8500902,999,999,1,Diesel,SIC_Norte
Taltal_02_Diesel,Seco.Dmax,176.8500902,999,999,1,Diesel,SIC_Norte
Antilhue_TG_01,Seco.Dmax,197.3656384,999,999,1,Diesel,SIC_Sur
Antilhue_TG_02,Seco.Dmax,197.3656384,999,999,1,Diesel,SIC_Sur
San_Isidro_02_GNL,Seco.Dmax,69.48129023,999,999,1,GNL,SIC_Centro
San_Isidro_GNL,Seco.Dmax,73.58766746,999,999,1,GNL,SIC_Centro
CTM3_SIC,Seco.Dmax,62.65109403,999,999,1,GNL,SIC_CentroNorte
U16_GNL,Seco.Dmax,38.91293792,999,999,1,GNL,SING_Centro
KELAR,Seco.Dmax,62.01728,999,999,1,GNL,SING_Sur
CC1_GNL,Seco.Dmax,108.6798098,999,999,1,GNL,SING_Sur
CC2_GNL,Seco.Dmax,108.6798098,999,999,1,GNL,SING_Sur
Rapel,Seco.Dmax,160,0,999,0.3,Embalse,SIC_Centro
Colbun,Seco.Dmax,160,0,999,0.3,Embalse,SIC_Centro
Machicura,Seco.Dmax,160,0,999,0.3,Embalse,SIC_Centro
Cipreses,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurA
Los_Condores,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurA
Pehuenche,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurA
El_Toro,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurC
Ralco,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurC
Pangue,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurC
Antuco,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurC
Angostura,Seco.Dmax,160,0,999,0.3,Embalse,SIC_CentroSurC
Canutillar,Seco.Dmax,160,0,999,0.3,Embalse,SIC_Sur
Hornitos,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Juncal,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Blanco,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Chacabuquito,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Los_Quilos,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Alfalfal,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Florida,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Maitenes,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Volcan,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Puntilla,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Sauzal,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Chacayes,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Alfalfal_02,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
Las_Lajas,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Centro
La_Higuera,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurA
Confluencia,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurA
San_Andres,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurA
Los_Hierros,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurA
El_Paso,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurA
nuble,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurA
Ancoa,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurA
Peuchen,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurC
Mampil,Seco.Dmax,0,0,999,0.3,Pasada,SIC_CentroSurC
Pullinque,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Sur
Pilmaiquen,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Sur
Rucatayo,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Sur
Laja_I,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Sur
San_Pedro,Seco.Dmax,0,0,999,0.3,Pasada,SIC_Sur
Chiburgo,Seco.Dmax,0,0,999,0.3,Serie,SIC_Centro
Isla,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurA
Curillinque,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurA
Loma_Alta,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurA
San_Ignacio,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurA
Ojos_de_Agua,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurA
Abanico,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurC
Rucue,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurC
Quilleco,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurC
Palmucho,Seco.Dmax,0,0,999,0.3,Serie,SIC_CentroSurC
Eolico-SIC_Centro,Seco.Dmax,0,0,999,0.5,Eolico,SIC_Centro
Eolico-SIC_CentroNorte,Seco.Dmax,0,0,999,0.5,Eolico,SIC_CentroNorte
Eolico_SIC_CentroSurC,Seco.Dmax,0,0,999,0.5,Eolico,SIC_CentroSurC
Eolico_SIC_Norte,Seco.Dmax,0,0,999,0.5,Eolico,SIC_Norte
Eolico_SIC_Sur,Seco.Dmax,0,0,999,0.5,Eolico,SIC_Sur
Eolico_SING_Centro,Seco.Dmax,0,0,999,0.5,Eolico,SING_Centro
Solar_SIC_Centro,Seco.Dmax,0,0,999,1,Solar,SIC_Centro
Solar_SIC_CentroNorte,Seco.Dmax,0,0,999,1,Solar,SIC_CentroNorte
Solar_SIC_Norte1,Seco.Dmax,0,0,999,1,Solar,SIC_Norte
Solar_SIC_Norte2,Seco.Dmax,0,0,999,1,Solar,SIC_Norte
Solar_SING_Centro1,Seco.Dmax,0,0,999,1,Solar,SING_Centro
Solar_SING_Centro2,Seco.Dmax,0,0,999,1,Solar,SING_Centro
Solar_SING_Norte,Seco.Dmax,0,0,999,1,Solar,SING_Norte
Solar_SING_Sur,Seco.Dmax,0,0,999,1,Solar,SING_Sur
Nueva_Ventanas,Seco.Dmedia,37.64904188,999,999,1,Carbon,SIC_Centro
Campiche,Seco.Dmedia,37.91690018,999,999,1,Carbon,SIC_Centro
Ventanas_02,Seco.Dmedia,39.89699388,999,999,1,Carbon,SIC_Centro
Ventanas_01,Seco.Dmedia,42.44335633,999,999,1,Carbon,SIC_Centro
Guacolda_03,Seco.Dmedia,29.05,999,999,1,Carbon,SIC_CentroNorte
Guacolda_04,Seco.Dmedia,32.023,999,999,1,Carbon,SIC_CentroNorte
Guacolda_01,Seco.Dmedia,32.7484,999,999,1,Carbon,SIC_CentroNorte
Guacolda_02,Seco.Dmedia,32.8528,999,999,1,Carbon,SIC_CentroNorte
Guacolda_05,Seco.Dmedia,40.50964896,999,999,1,Carbon,SIC_CentroNorte
Santa_Maria,Seco.Dmedia,33.89169646,999,999,1,Carbon,SIC_CentroSurC
Bocamina_02,Seco.Dmedia,44.81518306,999,999,1,Carbon,SIC_CentroSurC
Bocamina_01,Seco.Dmedia,48.09768973,999,999,1,Carbon,SIC_CentroSurC
NTO2,Seco.Dmedia,29.8567,999,999,1,Carbon,SING_Centro
NTO1,Seco.Dmedia,30.15688,999,999,1,Carbon,SING_Centro
CTM2,Seco.Dmedia,32.2307248,999,999,1,Carbon,SING_Centro
CTH,Seco.Dmedia,32.71240159,999,999,1,Carbon,SING_Centro
CTM1,Seco.Dmedia,33.1455574,999,999,1,Carbon,SING_Centro
CTA,Seco.Dmedia,34.98930347,999,999,1,Carbon,SING_Centro
U15,Seco.Dmedia,36.8778299,999,999,1,Carbon,SING_Centro
U14,Seco.Dmedia,38.2190069,999,999,1,Carbon,SING_Centro
U13,Seco.Dmedia,42.217497,999,999,1,Carbon,SING_Centro
U12,Seco.Dmedia,44.032503,999,999,1,Carbon,SING_Centro
COCHRANE_1,Seco.Dmedia,46.51138814,999,999,1,Carbon,SING_Centro
COCHRANE_2,Seco.Dmedia,46.51138814,999,999,1,Carbon,SING_Centro
CTTAR,Seco.Dmedia,33.198374,999,999,1,Carbon,SING_Norte
ANG_II,Seco.Dmedia,41.04048968,999,999,1,Carbon,SING_Sur
ANG_I,Seco.Dmedia,42.45048968,999,999,1,Carbon,SING_Sur
IEMejillones,Seco.Dmedia,43.79474211,999,999,1,Carbon,SING_Sur
Nueva_Renca_Diesel,Seco.Dmedia,120.5464769,999,999,1,Diesel,SIC_Centro
Nehuenco_02_Diesel,Seco.Dmedia,121.0384651,999,999,1,Diesel,SIC_Centro
Nehuenco_01_Diesel,Seco.Dmedia,121.1952869,999,999,1,Diesel,SIC_Centro
Dona_Carmen,Seco.Dmedia,157.8250806,999,999,1,Diesel,SIC_Centro
Espinos_01,Seco.Dmedia,175.315902,999,999,1,Diesel,SIC_Centro
Los_Vientos,Seco.Dmedia,179.3565017,999,999,1,Diesel,SIC_Centro
Cardones,Seco.Dmedia,174.37435,999,999,1,Diesel,SIC_CentroNorte
Teno,Seco.Dmedia,180.5514389,999,999,1,Diesel,SIC_CentroSurA
Los_Pinos,Seco.Dmedia,148.5568851,999,999,1,Diesel,SIC_CentroSurC
Coronel_TG_Diesel,Seco.Dmedia,165.8908952,999,999,1,Diesel,SIC_CentroSurC
Santa_Lidia,Seco.Dmedia,181.2146294,999,999,1,Diesel,SIC_CentroSurC
Taltal_01_Diesel,Seco.Dmedia,176.8500902,999,999,1,Diesel,SIC_Norte
Taltal_02_Diesel,Seco.Dmedia,176.8500902,999,999,1,Diesel,SIC_Norte
Antilhue_TG_01,Seco.Dmedia,197.3656384,999,999,1,Diesel,SIC_Sur
Antilhue_TG_02,Seco.Dmedia,197.3656384,999,999,1,Diesel,SIC_Sur
San_Isidro_02_GNL,Seco.Dmedia,69.48129023,999,999,1,GNL,SIC_Centro
San_Isidro_GNL,Seco.Dmedia,73.58766746,999,999,1,GNL,SIC_Centro
CTM3_SIC,Seco.Dmedia,62.65109403,999,999,1,GNL,SIC_CentroNorte
U16_GNL,Seco.Dmedia,38.91293792,999,999,1,GNL,SING_Centro
KELAR,Seco.Dmedia,62.01728,999,999,1,GNL,SING_Sur
CC1_GNL,Seco.Dmedia,108.6798098,999,999,1,GNL,SING_Sur
CC2_GNL,Seco.Dmedia,108.6798098,999,999,1,GNL,SING_Sur
Rapel,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_Centro
Colbun,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_Centro
Machicura,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_Centro
Cipreses,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurA
Los_Condores,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurA
Pehuenche,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurA
El_Toro,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurC
Ralco,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurC
Pangue,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurC
Antuco,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurC
Angostura,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_CentroSurC
Canutillar,Seco.Dmedia,160,0,999,0.3,Embalse,SIC_Sur
Hornitos,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Juncal,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Blanco,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Chacabuquito,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Los_Quilos,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Alfalfal,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Florida,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Maitenes,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Volcan,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Puntilla,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Sauzal,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Chacayes,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Alfalfal_02,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
Las_Lajas,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Centro
La_Higuera,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurA
Confluencia,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurA
San_Andres,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurA
Los_Hierros,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurA
El_Paso,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurA
nuble,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurA
Ancoa,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurA
Peuchen,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurC
Mampil,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_CentroSurC
Pullinque,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Sur
Pilmaiquen,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Sur
Rucatayo,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Sur
Laja_I,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Sur
San_Pedro,Seco.Dmedia,0,0,999,0.3,Pasada,SIC_Sur
Chiburgo,Seco.Dmedia,0,0,999,0.3,Serie,SIC_Centro
Isla,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurA
Curillinque,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurA
Loma_Alta,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurA
San_Ignacio,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurA
Ojos_de_Agua,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurA
Abanico,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurC
Rucue,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurC
Quilleco,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurC
Palmucho,Seco.Dmedia,0,0,999,0.3,Serie,SIC_CentroSurC
Eolico-SIC_Centro,Seco.Dmedia,0,0,999,0.5,Eolico,SIC_Centro
Eolico-SIC_CentroNorte,Seco.Dmedia,0,0,999,0.5,Eolico,SIC_CentroNorte
Eolico_SIC_CentroSurC,Seco.Dmedia,0,0,999,0.5,Eolico,SIC_CentroSurC
Eolico_SIC_Norte,Seco.Dmedia,0,0,999,0.5,Eolico,SIC_Norte
Eolico_SIC_Sur,Seco.Dmedia,0,0,999,0.5,Eolico,SIC_Sur
Eolico_SING_Centro,Seco.Dmedia,0,0,999,0.5,Eolico,SING_Centro
