Generador,Escenario,UC,PG_0,RES_UP,RES_DN
Nueva_Renca_Diesel,Medio.Dmin,0,0,0,0
Cardones,Medio.Dmin,0,0,0,0
Los_Pinos,Medio.Dmin,0,0,0,0
Teno,Medio.Dmin,0,0,0,0
Taltal_02_Diesel,Medio.Dmin,0,0,0,0
Coronel_TG_Diesel,Medio.Dmin,0,0,0,0
Taltal_01_Diesel,Medio.Dmin,0,0,0,0
Antilhue_TG_02,Medio.Dmin,0,0,0,0
Antilhue_TG_01,Medio.Dmin,0,0,0,0
Nehuenco_01_Diesel,Medio.Dmin,0,0,0,0
Dona_Carmen,Medio.Dmin,0,0,0,0
Santa_Lidia,Medio.Dmin,0,0,0,0
Nehuenco_02_Diesel,Medio.Dmin,0,0,0,0
Los_Vientos,Seco.Dmax,1,79.2,52.8,0
Espinos_01,Seco.Dmax,1,60,40,0
Nueva_Renca_Diesel,Seco.Dmax,1,312,0,0
Cardones,Seco.Dmax,0,0,0,0
Los_Pinos,Seco.Dmax,1,62.5164,41.6776,0
Teno,Seco.Dmax,1,35.4,23.6,0
Taltal_02_Diesel,Seco.Dmax,0,0,0,0
Coronel_TG_Diesel,Seco.Dmax,1,28.02,18.68,0
Taltal_01_Diesel,Seco.Dmax,0,0,0,0
Antilhue_TG_02,Seco.Dmax,0,0,0,0
Antilhue_TG_01,Seco.Dmax,0,0,0,0
Nehuenco_01_Diesel,Seco.Dmax,1,186,124,0
Dona_Carmen,Seco.Dmax,1,39.9,26.6,0
Santa_Lidia,Seco.Dmax,1,83.4,55.6,0
Nehuenco_02_Diesel,Seco.Dmax,1,238.9576,152.0424,0
Los_Vientos,Seco.Dmedia,1,79.2,52.8,0
Espinos_01,Seco.Dmedia,1,60,40,0
Nueva_Renca_Diesel,Seco.Dmedia,1,237.1576,74.8424,0
Cardones,Seco.Dmedia,0,-1.14E-13,0,0
Los_Pinos,Seco.Dmedia,1,62.5164,41.6776,0
Teno,Seco.Dmedia,0,0,0,0
Taltal_02_Diesel,Seco.Dmedia,0,0,0,0
Coronel_TG_Diesel,Seco.Dmedia,1,28.02,18.68,0
Taltal_01_Diesel,Seco.Dmedia,0,0,0,0
Antilhue_TG_02,Seco.Dmedia,0,0,0,0
Antilhue_TG_01,Seco.Dmedia,0,0,0,0
Nehuenco_01_Diesel,Seco.Dmedia,1,186,124,0
